Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
MySQL,senior,"In MySQL, parallel replica workers (logical clock / WRITESET) still serialize on one table. Why?",Transactions that touch overlapping rows or lack writeset information cannot be applied concurrently without violating commit order,Parallel apply requires statement-based binlog,Gap locks on the source are applied as global locks on the replica,The buffer pool allows only one dirty page at a time on replicas,A
MySQL,senior,"In MySQL, row-based replication plus a table without a primary key. Why does replica apply become extremely slow?","Each row event may require a table scan or hidden index lookup to find the row, instead of a clustered PK point lookup",RBR refuses to replicate tables without a PK,Gap locks cannot be reconstructed without a PK,The buffer pool disables change buffering on those tables,A
MySQL,senior,"In MySQL, statement-based binlog plus a non-deterministic `UPDATE ... ORDER BY RAND() LIMIT 1` is replicated. What goes wrong?",Replicas apply the same statement and may update different rows than the primary.,InnoDB refuses to log non-deterministic statements.,The statement is rewritten to row-based automatically and cannot diverge.,"RAND() is stored in GTID, so replicas replay the same choice.",A
MySQL,senior,"In MySQL, you need to purge millions of rows without stalling the replica. Why is DELETE in small PK batches often preferred over one huge transaction?","A huge transaction delays binlog dump until commit, holds undo, and creates a massive apply burst; batches bound lag and purge history",InnoDB cannot DELETE more than 1000 rows in one statement,Gap locks are only taken on small batches,Row-based binlog ignores large transactions,A
MySQL,senior,"In MySQL, you switch binlog_format to ROW to make replicas match. Which source-side cost appears?","Binlog volume grows because before/after row images are written, especially for wide rows and bulk updates",InnoDB disables the redo log,Gap locks are written into the binlog for every SELECT,Online DDL becomes COPY-only,A
MySQL,senior,You chose a random UUID as the InnoDB primary key for a huge table. Why do writes get worse over time?,UUIDs cannot be indexed in InnoDB.,"Inserts scatter across the clustered index, causing page splits and random I/O instead of appending to the right edge.","UUID PKs disable the change buffer, so secondary indexes cannot be updated.","InnoDB stores UUID PKs twice, doubling row size.",B
MySQL,senior,innodb_flush_log_at_trx_commit = 2 improves COMMIT latency. What durability did you give up?,A host crash can lose the last second of committed transactions even though clients saw COMMIT,Replicas will diverge on every DDL,Gap locks are not released at COMMIT,The clustered index can tear pages without redo,A
PostgreSQL,senior,"In PostgreSQL, EXPLAIN shows Bitmap Heap Scan with Recheck Cond and lossy pages under memory pressure. What happened?","The bitmap did not fit in work_mem, so some pages are rechecked row-by-row after a coarse page bitmap",The index was corrupt and PostgreSQL fell back to sequential scan mid-query,HOT chains cannot be followed in bitmap scans,synchronous_commit forced a recheck of WAL before visibility,A
PostgreSQL,senior,"In PostgreSQL, a GIN index on jsonb speeds @> queries but INSERTs and VACUUM become expensive. Why?","GIN stores many posting-list entries per row and pending lists must be merged, amplifying WAL and cleanup",GIN disables MVCC visibility checks,jsonb cannot be TOASTed when GIN exists,GIN requires sequential scans for all other predicates,A
PostgreSQL,senior,"In PostgreSQL, a covering index (INCLUDE) is created for a read-heavy query. When does INCLUDE still fail to make an index-only scan effective?","The visibility map is not all-visible, so heap fetches still occur for many tuples",INCLUDE columns cannot be TOASTed,Index-only scans require SERIALIZABLE,INCLUDE disables HOT on the table,A
PostgreSQL,senior,"In PostgreSQL, a query that should use an index does a sequential scan after a bulk load. Statistics were not updated. What is the planner missing?",The physical location of WAL segments.,Row counts and value distributions; without ANALYZE it can think the table is tiny or the filter is unselective.,"The OS page cache size, which it stores in pg_class.",A lock on pg_index that sequential scans skip.,B
PostgreSQL,senior,"In PostgreSQL, a replication slot is left unused after a forgotten subscriber. What operational failure follows?",WAL is retained forever for that slot until disk fills and the primary can no longer write,Autovacuum freezes all tables immediately,Hot updates become sequential scans,max_connections is reduced to 1,A
PostgreSQL,senior,"In PostgreSQL, a table is 200 GB, updates hit the same hot rows all day, and autovacuum cannot keep up. Indexes keep growing even though live row count is stable. What is actually accumulating?",WAL files that VACUUM is required to delete from pg_xlog.,Dead tuple versions and index entries pointing at them; HOT can skip index updates only when a new version fits on the same page.,"Materialized views of every UPDATE, stored until ANALYZE.",Logical replication slots created automatically for each UPDATE.,B
PostgreSQL,senior,"In PostgreSQL, a write-heavy table never gets HOT updates even when indexed columns are unchanged. fillfactor is 100. What is the mechanism?","No free space on the same page, so the new version is placed elsewhere and every index must be updated",HOT requires synchronous_commit = off,HOT only works on partitioned tables,HOT is disabled when replication slots exist,A
PostgreSQL,senior,"In PostgreSQL, bloat in a btree index grows even though the heap was recently vacuumed. What index-specific issue remains?",Index pages are not fully recycled by ordinary vacuum; deleted keys can leave poorly reusable space until REINDEX or vacuuming that can recycle pages,Btree indexes store heap tuple copies that vacuum never visits,HOT updates always bloat indexes first,Indexes are only compacted at xid freeze time,A
PostgreSQL,senior,"In PostgreSQL, logical replication is lagging. The slot's `restart_lsn` is old and disk is filling with WAL. What happens if you drop the slot to free disk without a plan?",Replicas automatically rebuild from a new base backup with no data loss.,"PostgreSQL can recycle WAL, but that subscriber can no longer catch up from the missing segments and needs a resync.",WAL is copied to S3 automatically when a slot is dropped.,Dropping a slot is refused until the subscriber is caught up.,B
PostgreSQL,senior,"In PostgreSQL, logical replication of a table with frequent UPDATEs of large rows. Replica apply is CPU-bound. What is a common cause?","Row images in WAL plus replica replay of full-row UPDATEs, especially without replica identity index lookups being cheap","Logical replication ships only HOT chains, which the replica must rebuild",The subscriber runs VACUUM FULL after every message,Partitioning is required for logical decoding,A
PostgreSQL,senior,"In PostgreSQL, partition-wise joins are not used between two partitioned tables. What typically blocks them?","Partition keys and bounds do not line up, so the planner cannot join matching partitions independently",Both tables use btree indexes,synchronous_commit is on,The tables are in the same schema,A
PostgreSQL,senior,"In PostgreSQL, pgBouncer transaction pooling plus prepared statements on the client. What failure mode appears?","Prepared statements are backend-local, so the next transaction may hit a different server process that does not have them",WAL is not flushed on COMMIT in transaction pooling,MVCC snapshots leak across pooled clients,VACUUM cannot run while PgBouncer is used,A
PostgreSQL,senior,"In PostgreSQL, xid wraparound autovacuum is running and blocking DDL. Application writes still succeed but get slower. What is going on?","Anti-wraparound vacuum must scan tables to freeze, competing for I/O and holding locks that conflict with some DDL",PostgreSQL pauses WAL until freeze completes,All indexes are rebuilt during wraparound vacuum,Hot standbys take exclusive locks on the primary,A
PostgreSQL,senior,"In PostgreSQL, you add a btree index to accelerate a JOIN, but INSERTs slow more than the SELECT savings. Which cost is easy to miss?","Every heap insert/update/delete must maintain the index, plus WAL for index pages, plus extra vacuum work",Indexes disable HOT even when the indexed column is unchanged,Btree indexes prevent TOAST compression,The planner cannot use an index together with a sequential scan of another table,A
PostgreSQL,senior,"In PostgreSQL, you need SERIALIZABLE isolation for a 'create user if missing' race. What extra cost should you expect?",No extra cost; SERIALIZABLE is implemented with table locks only.,SSI can abort one of the concurrent transactions with a serialization failure; the app must retry.,SERIALIZABLE disables WAL to get a consistent snapshot.,PostgreSQL upgrades the table to ACCESS EXCLUSIVE for the rest of the session.,B
PostgreSQL,senior,"In PostgreSQL, you need replica lag under a few hundred milliseconds for failover. The workload is bursty WAL. Which trade-off is real with synchronous replication?","Primary COMMIT waits on replica flush/apply, so a slow or dead replica stalls writes","Synchronous replicas do not write WAL, so lag cannot exist",VACUUM on the primary is skipped so the replica stays small,"Indexes are not replicated, reducing WAL volume",A
PostgreSQL,senior,"In PostgreSQL, you set `synchronous_commit=off` to gain write throughput. What did you actually trade?",Nothing on a single node; it only affects replicas.,After a crash you can lose transactions that returned success but had not yet flushed WAL.,Sequential scans become illegal because hint bits are untrusted.,Foreign keys are no longer checked.,B
PostgreSQL,senior,"In PostgreSQL, you set synchronous_commit = remote_apply for a reporting replica. Compared with on (local flush), what extra wait is introduced?","The primary waits until the standby has replayed the WAL, not merely received or flushed it","The primary waits only for local fsync, same as default",The replica must VACUUM before ACK,Index builds on the primary become non-transactional,A
PostgreSQL,senior,SERIALIZABLE isolation reports a serialization failure on a read-only transaction. Why is that possible in PostgreSQL SSI?,The read-only snapshot participated in a dangerous rw-dependency cycle with concurrent writers,Read-only transactions always take predicate locks on the whole database,VACUUM cannot freeze while SERIALIZABLE is used,SSI requires synchronous_commit = remote_apply,A
Python,senior,A memory profile shows objects that should be dead still alive. Cycles of objects with `__del__` are involved. Why is CPython struggling?,"Reference counting never frees cycles; the cyclic GC also cannot reliably collect cycles with `__del__` in all cases, so they linger.","`__del__` forces immediate free, so this cannot be a leak.",The GIL prevents cyclic GC from running.,"CPython uses JVM GC, which ignores `__del__`.",A
Python,senior,"In Python, `__slots__` on a hot class cut memory. Then you try to assign a new attribute in production. What happens?",The attribute is stored in `__dict__` as usual.,AttributeError: slots classes have no per-instance dict unless you add `'__dict__'` to slots.,Slots silently ignore unknown attributes.,Slots only affect classmethods.,B
Python,senior,"In Python, a FastAPI/Starlette app mutates a global dict from concurrent requests. Threads or async tasks — is the dict safe?",Yes; the GIL makes every dict operation a transaction.,"No; compound updates interleave. Use a lock, a store, or immutable copy-and-swap.","async tasks are serialized, so only threads race.",dict is a concurrent hashmap in 3.11+.,B
Python,senior,"In Python, a multiprocessing Pool is used on macOS/Windows with a function defined in `__main__` without a guard. Why do you fork-bomb?",Pool always requires CUDA.,Child processes re-import the main module and spawn more pools unless `if __name__ == '__main__'` protects the start.,multiprocessing cannot run on those OSes.,"The GIL prevents child processes from starting, so this cannot happen.",B
Python,senior,"In Python, asyncio task is cancelled while awaiting a non-cancellable third-party SDK. What goes wrong?",Cancellation always interrupts C code.,The task may not actually stop; resources leak and the event loop stays busy unless the SDK honors cancellation or you shield/timeout at a boundary you control.,asyncio converts cancellation into SystemExit.,Cancelled tasks retry automatically.,B
Python,senior,"In Python, you log `logger.info('user %s', user)` vs f-strings. Why might the `%s` form still be preferred in a hot debug logger?",f-strings cannot print objects.,The lazy `%`/`extra` style skips formatting if the level is disabled; f-strings always build the string.,logging cannot interpolate `%s`.,f-strings hold the GIL longer than I/O.,B
Python,senior,"In Python, you mix asyncio with a blocking Redis client inside `async def`. What happens under load?",asyncio automatically runs blocking calls in a thread pool.,The event loop stalls on that call; all other tasks in the process wait. Use an async client or `to_thread`.,Blocking I/O releases the GIL and the loop continues other coroutines.,async def cannot call sync functions; it will not compile.,B
Python,senior,"In Python, you need to ship type hints that a validator enforces at runtime. Why isn't `typing` enough?","typing annotations are erased and not enforced; you need a runtime library (pydantic, typeguard) or explicit checks.",CPython validates all annotations on every call.,mypy injects runtime checks into bytecode.,`from __future__ import annotations` enables enforcement.,A
Python,senior,"In Python, you pickle a cache blob from Redis and unpickle in the web process. What is the security issue?",Pickle is slow but cannot execute code.,Unpickling attacker-controlled bytes can execute arbitrary Python; don't unpickle untrusted data.,Redis refuses pickle protocol 5.,Pickle only serializes ints and strings.,B
Redis,senior,A Lua script in Redis is attractive for compare-and-set because:,Lua runs on all cluster nodes as a distributed transaction,"The script runs atomically on that instance's single thread, so no other command interleaves",Lua bypasses maxmemory,Lua is persisted as the source of truth,B
Redis,senior,A Redis Cluster multi-key command (e.g. MGET) fails even though every key exists. What constraint did you hit?,Cluster forbids MGET entirely.,Multi-key ops must hash to the same slot (same hash tag); keys on different shards cannot be served as one command.,The keys are larger than 512 MB.,Cluster only supports string types.,B
Redis,senior,"In Redis, AOF fsync every second vs always: the product question is:",Which cluster slot to fsync,How much acknowledged write loss you accept on a crash versus how hard you hit the disk,Whether eviction is LRU,Whether replicas can read,B
Redis,senior,"In Redis, MULTI/EXEC is not a distributed transaction. It:",Locks every cluster node,Queues commands and runs them sequentially on one instance; Cluster still will not span slots,Writes RDB first,Makes replicas strongly consistent,B
Redis,senior,"In Redis, SCAN is preferred over KEYS because:",SCAN is strongly consistent across the cluster,It incrementally iterates without holding the server in one giant blocking call,SCAN writes AOF,SCAN never misses keys even if they are mutated,B
Redis,senior,"In Redis, a background RDB save (fork) on a huge dataset can stall latency because:",RDB uses cluster slots,Copy-on-write after fork can spike memory and pause the process under write load,RDB disables pipelining,RDB turns off eviction,B
Redis,senior,"In Redis, a connection pool of 5000 clients against one instance can still collapse throughput because:",Redis only allows one TCP connection,The single thread plus huge output buffers and context switching become the limit; more conns are not more cores,Pools disable pipelining,Pools force RDB off,B
Redis,senior,"In Redis, allkeys-lfu vs allkeys-lru: you pick LFU when:",You want AOF-like durability,Frequency beats recency: a key read often should survive even if it was not the most recently touched,Cluster slots should rebalance,You need strong consistency,B
Redis,senior,"In Redis, hash tags like {user:42}:profile and {user:42}:orders exist so that:",Eviction skips those keys,Both keys hash to the same cluster slot and can be used in one multi-key command,AOF groups them into one fsync,They become the database of record,B
Redis,senior,"In Redis, hot key on one cluster node shows 100% CPU while others are idle. Fix is not 'add replicas of other nodes' but:",More AOF fsync,"Split the key (sharding in the app), cache locally, or read-fanout carefully; the slot/node owning that key is the bottleneck",KEYS to relocate data,Switch eviction to noeviction,B
Redis,senior,"In Redis, if eviction is on, a successful SET is not a durability guarantee. Why?",SET never writes memory,"The key can still be dropped later under memory pressure, and a crash can lose recent writes depending on RDB/AOF settings",Cluster always replicates SET synchronously,TTL is ignored when eviction is on,B
Redis,senior,"In Redis, pub/Sub is a poor audit log because:",Messages are larger than 400KB,It is fire-and-forget in-memory fanout; disconnected subscribers miss messages and nothing is the source of truth,It uses too many cluster slots,It always fsyncs AOF,B
Redis,senior,"In Redis, you enable AOF always-fsync and also run heavy eviction on a memory-full instance. Why can latency still spike besides the fsync itself?",Eviction walks candidates on the main thread; combined with fsync you get multi-millisecond stalls.,"Eviction always happens on a replica, so the primary cannot spike.",AOF disables eviction.,"fsync is asynchronous in all AOF modes, so spikes must be network.",A
Redis,senior,Using Redis as a distributed lock without a well-tested algorithm is risky because:,Locks cannot have TTLs,"Expiry, pauses, and failover can leave two clients thinking they hold the lock; Redis is not a consensus database",Cluster slots cannot store lock keys,AOF forbids SET NX,B
Redis,senior,You treat Redis lists as a job queue and crash the worker after LPOP. What did you lose?,Nothing; AOF always replays the job to the worker,"The job, unless you used a reliable pattern (BRPOPLPUSH/streams + ack) and a real backing store for truth",Only the TTL,A cluster slot,B
Redis,senior,"You use Redis as the only store for orders, with AOF every second. What durability story are you actually selling?",Same as PostgreSQL with fsync on commit.,"You can lose about a second of acknowledged writes on crash, and a bad Lua/script bug can wipe data with no undo.",AOF is a full MVCC history you can time-travel.,Replicas make the primary synchronous by default.,B
Spring Boot,senior,@Transactional on a non-Spring-managed object (new Service()) means:,Annotations are still discovered via the call stack,"No proxy exists, so the annotation never applies",Spring weaves all new calls,The transaction starts at the first JDBC call anyway,B
Spring Boot,senior,A command-line --spring.profiles.active=prod vs SPRING_PROFILES_ACTIVE=dev in the environment: what matters?,Profiles cannot be set twice,"Higher-precedence property source for spring.profiles.active wins; CLI typically beats env, which beats packaged files — know your runtime's actual Environment order",The first profile file on disk wins regardless,Both apply as a random shuffle,B
Spring Boot,senior,"In Spring Boot, @Async + @Transactional on the same method:",The transaction definitely runs on the caller and the work on the worker,Interceptor order matters; the transaction typically starts on the async thread after the hop — the caller's transaction does not cover the async body,They are illegal together,The caller always joins the async transaction,B
Spring Boot,senior,"In Spring Boot, @Async method called from a loop of 10k items without batching:",Runs sequentially,"Enqueues 10k tasks; with a small pool this is a latency/queue-depth bomb, with an unbounded pool an OOM",Spring coalesces the calls,The loop becomes one task,B
Spring Boot,senior,"In Spring Boot, @Async methods dump work on SimpleAsyncTaskExecutor (new thread per task) because no pool was configured. What fails under burst?",Nothing; unbounded threads are how Tomcat already works.,Thread/memory explosion with no backpressure; you wanted a bounded executor and a rejection policy.,@Async silently becomes synchronous.,Spring will switch to virtual threads automatically.,B
Spring Boot,senior,"In Spring Boot, @Async on a self-called method in the same class:",Still hops threads,Is ignored like other Spring AOP: the method runs synchronously on the caller thread,Always uses the default executor,Throws unless the class is final,B
Spring Boot,senior,"In Spring Boot, @Value(""${foo}"") vs @ConfigurationProperties for a prefix:",They always see different sources,"Both read the same Environment, but @Value does not validate unknown keys and binds a single expression; @ConfigurationProperties binds a structured object with conversion and (with the processor) unknown-field policy",@Value ignores env vars,@ConfigurationProperties cannot use relaxed names,B
Spring Boot,senior,"In Spring Boot, CGLIB subclass proxies still fail self-invocation because:",CGLIB cannot subclass,"this inside the target is the target instance, not the subclass proxy wrapper sitting in the bean factory",CGLIB copies annotations onto this,JDK proxies would work for self-calls,B
Spring Boot,senior,"In Spring Boot, JMX exposure of the same actuator operations:",Is unrelated,Can bypass HTTP path lockdown if JMX is reachable; lock both HTTP and JMX,JMX cannot invoke shutdown,JMX is always local-only on every OS,B
Spring Boot,senior,"In Spring Boot, OSIV holds a database connection (or at least a persistence context) across:",Only the @Transactional method,"Template rendering / JSON serialization, which may include remote calls if you are sloppy — stretching pool occupancy",Application startup only,Scheduled tasks only,B
Spring Boot,senior,"In Spring Boot, OSIV plus a slow JSON serialization or template:",Releases the connection at service return always,Can keep the persistence context and connection occupied until the response is written,Never uses the pool,Uses a second unbounded pool,B
Spring Boot,senior,"In Spring Boot, REQUIRED on caller, REQUIRES_NEW on callee, called via this.callee():",The inner method still suspends and starts a new transaction,REQUIRES_NEW is skipped; there is no inner boundary at all,Both annotations merge into NESTED,The outer transaction commits twice,B
Spring Boot,senior,"In Spring Boot, a @Scope(""thread"") or custom thread scope without cleanup across thread-pool reuse causes:",No issue because threads are never reused,State leaking between unrelated tasks that share a pooled thread,The pool to create a new JVM,Scope to upgrade to request,B
Spring Boot,senior,"In Spring Boot, a JSON serializer calling getOrders() on each Customer during a list endpoint is dangerous because:",getters cannot run SQL,Each getter is a lazy load after the service thought the unit of work was done; list size multiplies round trips,Jackson ignores getters,OSIV blocks getters,B
Spring Boot,senior,"In Spring Boot, a `@Transactional` service calls a remote HTTP API inside the transaction. Why is this a reliability bug even if the SQL is correct?",HTTP cannot be called from a Spring bean.,"The DB lock/connection is held for the network RTT; timeouts, pool exhaustion, and distributed 'commit then HTTP failed' inconsistency.",Spring will automatically convert this to a saga.,"Transactions isolate HTTP as well, so retries are safe.",B
Spring Boot,senior,"In Spring Boot, a custom ThreadPoolTaskExecutor for @Async should be exposed by:",Replacing TaskExecutor with an unbounded cached pool to be safe,"Implementing AsyncConfigurer / naming the executor in @Async(""name"") with bounded queue, size, and decorator",Using Executors.newFixedThreadPool without Spring lifecycle,Starting threads in @PostConstruct manually only,B
Spring Boot,senior,"In Spring Boot, a leak of connections (checkout without close) happens when:",You always use try-with-resources / Spring-managed DataSourceUtils,"Manual getConnection without close, or a transaction that never completes (stuck thread, missing commit, swallowed rollback)",Hikari is enabled,You use @Transactional on every public method including health checks only,B
Spring Boot,senior,"In Spring Boot, a property appears in both application.properties and application-prod.properties with prod profile active. Which is used?",application.properties always,The profile-specific document overrides the same key from the default document,They merge as a list,Spring fails startup on duplicate keys,B
Spring Boot,senior,"In Spring Boot, a reliable fix for self-invocation when you must call another transactional method:",Add Thread.sleep so the proxy catches up,"Move the method to another bean and inject it, or self-inject the proxy, or use AopContext.currentProxy() with expose-proxy, or switch to AspectJ weaving",Mark the class final,Use @Transactional on the field,B
Spring Boot,senior,"In Spring Boot, a service method without @Transactional calls this.save() which is @Transactional. The save runs:",In a transaction started by save's annotation,"With no transactional interceptor, so each repository call may auto-commit or join nothing as if save were a plain method",In a nested transaction always,Only if the class is final,B
Spring Boot,senior,"In Spring Boot, a singleton bean with mutable instance fields used per request is dangerous because:",Spring clones it per thread automatically,Concurrent requests race on the same fields; you get cross-request data leaks and corruption,Singletons cannot be injected,The GC cannot collect them,B
Spring Boot,senior,"In Spring Boot, a streaming query / open ResultSet inside a transaction:",Frees the connection immediately,Pins a connection for the entire stream consumption; slow consumers starve the pool,Moves the cursor off-heap without a connection,Is executed by the web client,B
Spring Boot,senior,"In Spring Boot, actuator `/env` and `/heapdump` are exposed on the public port. What did you actually ship?",Convenience health checks only; secrets are redacted always.,"A production data leak surface (config, secrets if mis-redacted, heap contents). Restrict and authenticate actuator.",Those endpoints are compile-time disabled in Boot 3.,heapdump requires a local JMX connection and cannot be fetched over HTTP.,B
Spring Boot,senior,"In Spring Boot, an @Async method with an unbounded queue under a traffic spike:",Rejects immediately,Accepts work until heap/OOM while the caller thinks the job was safely offloaded,Runs inline on Tomcat threads automatically,Drops oldest tasks,B
Spring Boot,senior,"In Spring Boot, batch fetching (default_batch_fetch_size) vs eliminating N+1:",Batching removes the extra queries entirely,"It groups lazy loads into IN-queries (N/batch + 1), a mitigation, not a substitute for fetching what you need up front",It only works with OSIV off,It disables lazy loading,B
Spring Boot,senior,"In Spring Boot, best default for a JSON API application:",Leave OSIV on so Jackson can lazy-load freely,"Disable OSIV, fetch or project in the service, return DTOs, fail on accidental lazy access",Use EAGER on every association,Open a new EntityManager per getter,B
Spring Boot,senior,"In Spring Boot, best structural fix for 'pool exhausted under load' when SQL is already fast:","Set pool size to 10,000","Shorten hold time: no remote calls in tx, no OSIV lazy I/O, bound inbound concurrency to roughly pool size × (1/hold-time), fail fast on checkout",Disable timeouts,Switch every query to EAGER join fetch without measuring,B
Spring Boot,senior,"In Spring Boot, checked exceptions inside @Transactional by default:",Always roll back,Do not roll back unless rollbackFor includes them; RuntimeException and Error do,Commit twice,Disable the proxy,B
Spring Boot,senior,"In Spring Boot, config data imported from optional:file:./config/ vs classpath application.properties:",Classpath always beats files next to the process,External config locations are intended to override packaged defaults so the same artifact can run in every environment,Files are ignored unless named settings.ini,Import order is random per boot,B
Spring Boot,senior,"In Spring Boot, connection pool exhaustion looks like:",Instant OOM without waiting,"Threads blocked waiting for a connection until timeout, then errors; throughput collapses while CPU may look idle",The database rejecting authentication only,GC promotion storms only,B
Spring Boot,senior,"In Spring Boot, core size 2, max 16, unbounded queue on the @Async executor. Observed threads stay at 2. Why?",Spring caps async at 2,ThreadPoolExecutor only starts extra threads when the queue is full; unbounded queue never fills,max pool is ignored for CPU reasons only,@Async uses core and max as aliases,B
Spring Boot,senior,"In Spring Boot, custom actuator endpoint that runs a heap query or SpEL from a request parameter:",Is fine if unnamed,Is a remote code/data exfil channel; treat custom endpoints with the same authz as admin RCE,Is automatically sanitized,Cannot be mapped under /actuator,B
Spring Boot,senior,"In Spring Boot, default values in @Value(""${foo:bar}"") hide misconfiguration because:",Defaults are illegal,"If foo is missing from every source, you silently run with bar instead of failing startup",The default always overrides env vars,@Value cannot have defaults,B
Spring Boot,senior,"In Spring Boot, disabling OSIV without fixing fetch plans results in:",Faster pages always,LazyInitializationException during serialization — the failures OSIV was papering over,No SQL at all,Automatic DTO mapping,B
Spring Boot,senior,"In Spring Boot, duplicate keys in the same YAML file across maps vs a dotted key in properties:",YAML and properties never collide,"The higher-precedence PropertySource wins the flattened key; within one file, last/merge rules can surprise you — treat keys as a single namespace",Nested YAML cannot override dotted keys,Spring keeps both and randomly selects,B
Spring Boot,senior,"In Spring Boot, encrypted values / placeholders that resolve against a later PropertySource fail when:",Placeholders always resolve globally after all sources load in one pass with no order issues,"A source tries to resolve ${other} before 'other' is present in a higher-precedence source, or circular placeholders exist",Environment variables cannot contain placeholders,@Value does not resolve placeholders,B
Spring Boot,senior,"In Spring Boot, exceptions from @Async void methods:",Propagate to the HTTP client,"Go to the configured AsyncUncaughtExceptionHandler; if you did not set one, they can be swallowed after a log",Retry forever,Roll back the caller's transaction automatically always,B
Spring Boot,senior,"In Spring Boot, gateway / proxy that strips /actuator from public routes but forwards /*:",Is enough if the string 'actuator' is banned in docs,"Can still expose actuators via alternate context paths, management base-path changes, or port mix-ups — verify the actual listener",Makes include=* safe,Disables JMX too,B
Spring Boot,senior,"In Spring Boot, graceful shutdown of the @Async pool on SIGTERM:",Happens for SimpleAsyncTaskExecutor always,Requires a Spring-managed executor with waitForTasksToComplete / timeout; otherwise in-flight emails/jobs die mid-work on deploy,Is guaranteed by @Async itself,Is handled by the JVM finalizer,B
Spring Boot,senior,"In Spring Boot, holding a connection while calling a remote HTTP API inside @Transactional causes exhaustion because:",HTTP uses the same TCP port as JDBC,"The connection stays checked out for the whole transaction, including slow IO that does not need the database",Pools cannot coexist with HTTP,@Transactional closes the pool,B
Spring Boot,senior,"In Spring Boot, injecting a prototype into a singleton does what by default?",A new prototype is created on every method call,The singleton receives one prototype instance at injection time and reuses it forever,Spring rejects the injection,The prototype becomes request-scoped,B
Spring Boot,senior,"In Spring Boot, join fetch in a Collection-valued association without care can:",Never affect row counts,"Multiply root rows (cartesian product), so you need distinct or a two-query pattern",Disable OSIV,Automatically paginate,B
Spring Boot,senior,"In Spring Boot, leaving /actuator/env and /actuator/configprops fully public is dangerous because:",They only show bean names,"They can reveal property values, including secrets that landed in the Environment, and which source they came from",They execute arbitrary SQL,They disable authentication globally,B
Spring Boot,senior,"In Spring Boot, lock wait in the database plus a small pool creates a deadlock of the application because:",Locks are held on checked-out connections; other requests need those connections to run the statements that would release the locks,The pool ignores the database,Spring upgrades isolation automatically,TCP keepalive drops locks,A
Spring Boot,senior,"In Spring Boot, logging the full /actuator/health body at INFO on every probe:",Is cheap and safe,"Can flood logs and record internal dependency errors (and with details on, internals) on a public interval",Is required for metrics,Disables scraping,B
Spring Boot,senior,"In Spring Boot, multiple DataSources each with a large pool on one JVM:",Is always correct,Can exhaust database max_connections across instances: pool size × processes × DataSources must stay under the DB cap,Spring shares one physical connection,Idle connections do not count against the database,B
Spring Boot,senior,"In Spring Boot, objectProvider<T> / Provider<T> for a prototype is used to:",Cache the first instance only,Ask the container for a new (or scoped) instance at the call site instead of capturing injection-time identity,Disable the bean,Make T a singleton,B
Spring Boot,senior,"In Spring Boot, pagination plus OSIV lazy collections in the page content leads to:",Constant query count,"Page size N extra queries (or worse with nested collections), destroying the point of pagination",Hibernate ignoring page size,OSIV closing per page row,B
Spring Boot,senior,"In Spring Boot, pool size 10, Tomcat threads 200, each request needing a connection:",Spring will auto-expand the pool to 200,"190 threads can block on the pool; you must size pool, timeouts, and inbound concurrency together",Extra threads share connections safely,The database serializes them without wait,B
Spring Boot,senior,"In Spring Boot, prototype-scoped @Transactional bean obtained once and reused:",Gets a new transaction interceptor each call from the factory,"Is one object; reuse is your problem, and it is a poor way to get transactions",Cannot have @Transactional,Automatically request-scopes the tx,B
Spring Boot,senior,"In Spring Boot, read-only health checks sharing the primary pool can exhaust it during an incident because:",Health checks do not use SQL,"Probes compete with business traffic for the last connections, causing a death spiral of failed checks and restarts",Kubernetes ignores JDBC,read-only queries skip the pool,B
Spring Boot,senior,"In Spring Boot, readOnly=true on a class-level @Transactional, then a self-called inner write method with readOnly=false:","The write method still participates in the outer read-only transaction if called via this, and the write may fail or silently do nothing useful",readOnly is ignored always,Spring starts a write tx automatically on flush,The inner annotation wins without a proxy,A
Spring Boot,senior,"In Spring Boot, refreshing a @RefreshScope bean vs singleton collaborators that captured it at startup:",All field-injected references see new values automatically if they stored the target,"Collaborators that injected the raw target keep the old instance; they need the refresh proxy, @ConfigurationProperties rebinding, or to read through the proxy each time",RefreshScope restarts the JVM,Singletons cannot inject RefreshScope beans,B
Spring Boot,senior,"In Spring Boot, request scope in a singleton without a proxy fails because:",Request scope does not exist,"The singleton is created at startup, outside a request; there is no request instance to inject unless a scoped proxy defers access",HTTP is not thread-safe,Controllers cannot be singletons,B
Spring Boot,senior,"In Spring Boot, sanitizing keys in env is insufficient alone because:",Sanitization is illegal,"Secrets still appear in heapdumps, logs, custom endpoints, and misspelled key names that skip the sanitizer patterns",Env never contained secrets if sanitized,Kubernetes secrets cannot enter the Environment,B
Spring Boot,senior,"In Spring Boot, self-injection of the same service works because:",Spring injects the raw target,"Spring injects the transactional proxy, so self.foo() is an advised call",It enables AspectJ compile-time weaving,It disables CGLIB,B
Spring Boot,senior,"In Spring Boot, self-invocation skipped @Transactional that leaves autocommit queries vs a long outer transaction: exhaustion angle is:",No difference,"An unexpectedly long outer transaction (or, conversely, extra checkouts from unbatched autocommit) both increase occupancy; know which connection you hold",Autocommit never uses the pool,Transactions do not check out connections,B
