Question,Option A,Option B,Option C,Option D,Correct Answer
EXPLAIN shows Bitmap Heap Scan with Recheck Cond and lossy pages under memory pressure. What happened?,"The bitmap did not fit in work_mem, so some pages are rechecked row-by-row after a coarse page bitmap",The index was corrupt and PostgreSQL fell back to sequential scan mid-query,HOT chains cannot be followed in bitmap scans,synchronous_commit forced a recheck of WAL before visibility,A
Logical replication is lagging. The slot's `restart_lsn` is old and disk is filling with WAL. What happens if you drop the slot to free disk without a plan?,Replicas automatically rebuild from a new base backup with no data loss.,"PostgreSQL can recycle WAL, but that subscriber can no longer catch up from the missing segments and needs a resync.",WAL is copied to S3 automatically when a slot is dropped.,Dropping a slot is refused until the subscriber is caught up.,B
Logical replication of a table with frequent UPDATEs of large rows. Replica apply is CPU-bound. What is a common cause?,"Row images in WAL plus replica replay of full-row UPDATEs, especially without replica identity index lookups being cheap","Logical replication ships only HOT chains, which the replica must rebuild",The subscriber runs VACUUM FULL after every message,Partitioning is required for logical decoding,A
Partition-wise joins are not used between two partitioned tables. What typically blocks them?,"Partition keys and bounds do not line up, so the planner cannot join matching partitions independently",Both tables use btree indexes,synchronous_commit is on,The tables are in the same schema,A
PgBouncer transaction pooling plus prepared statements on the client. What failure mode appears?,"Prepared statements are backend-local, so the next transaction may hit a different server process that does not have them",WAL is not flushed on COMMIT in transaction pooling,MVCC snapshots leak across pooled clients,VACUUM cannot run while PgBouncer is used,A
SERIALIZABLE isolation reports a serialization failure on a read-only transaction. Why is that possible in PostgreSQL SSI?,The read-only snapshot participated in a dangerous rw-dependency cycle with concurrent writers,Read-only transactions always take predicate locks on the whole database,VACUUM cannot freeze while SERIALIZABLE is used,SSI requires synchronous_commit = remote_apply,A
"You add a btree index to accelerate a JOIN, but INSERTs slow more than the SELECT savings. Which cost is easy to miss?","Every heap insert/update/delete must maintain the index, plus WAL for index pages, plus extra vacuum work",Indexes disable HOT even when the indexed column is unchanged,Btree indexes prevent TOAST compression,The planner cannot use an index together with a sequential scan of another table,A
You need SERIALIZABLE isolation for a 'create user if missing' race. What extra cost should you expect?,No extra cost; SERIALIZABLE is implemented with table locks only.,SSI can abort one of the concurrent transactions with a serialization failure; the app must retry.,SERIALIZABLE disables WAL to get a consistent snapshot.,PostgreSQL upgrades the table to ACCESS EXCLUSIVE for the rest of the session.,B
You need replica lag under a few hundred milliseconds for failover. The workload is bursty WAL. Which trade-off is real with synchronous replication?,"Primary COMMIT waits on replica flush/apply, so a slow or dead replica stalls writes","Synchronous replicas do not write WAL, so lag cannot exist",VACUUM on the primary is skipped so the replica stays small,"Indexes are not replicated, reducing WAL volume",A
You set `synchronous_commit=off` to gain write throughput. What did you actually trade?,Nothing on a single node; it only affects replicas.,After a crash you can lose transactions that returned success but had not yet flushed WAL.,Sequential scans become illegal because hint bits are untrusted.,Foreign keys are no longer checked.,B
"You set synchronous_commit = remote_apply for a reporting replica. Compared with on (local flush), what extra wait is introduced?","The primary waits until the standby has replayed the WAL, not merely received or flushed it","The primary waits only for local fsync, same as default",The replica must VACUUM before ACK,Index builds on the primary become non-transactional,A
xid wraparound autovacuum is running and blocking DDL. Application writes still succeed but get slower. What is going on?,"Anti-wraparound vacuum must scan tables to freeze, competing for I/O and holding locks that conflict with some DDL",PostgreSQL pauses WAL until freeze completes,All indexes are rebuilt during wraparound vacuum,Hot standbys take exclusive locks on the primary,A
A FastAPI/Starlette app mutates a global dict from concurrent requests. Threads or async tasks — is the dict safe?,Yes; the GIL makes every dict operation a transaction.,"No; compound updates interleave. Use a lock, a store, or immutable copy-and-swap.","async tasks are serialized, so only threads race.",dict is a concurrent hashmap in 3.11+.,B
A memory profile shows objects that should be dead still alive. Cycles of objects with `__del__` are involved. Why is CPython struggling?,"Reference counting never frees cycles; the cyclic GC also cannot reliably collect cycles with `__del__` in all cases, so they linger.","`__del__` forces immediate free, so this cannot be a leak.",The GIL prevents cyclic GC from running.,"CPython uses JVM GC, which ignores `__del__`.",A
A multiprocessing Pool is used on macOS/Windows with a function defined in `__main__` without a guard. Why do you fork-bomb?,Pool always requires CUDA.,Child processes re-import the main module and spawn more pools unless `if __name__ == '__main__'` protects the start.,multiprocessing cannot run on those OSes.,"The GIL prevents child processes from starting, so this cannot happen.",B
"You log `logger.info('user %s', user)` vs f-strings. Why might the `%s` form still be preferred in a hot debug logger?",f-strings cannot print objects.,The lazy `%`/`extra` style skips formatting if the level is disabled; f-strings always build the string.,logging cannot interpolate `%s`.,f-strings hold the GIL longer than I/O.,B
You mix asyncio with a blocking Redis client inside `async def`. What happens under load?,asyncio automatically runs blocking calls in a thread pool.,The event loop stalls on that call; all other tasks in the process wait. Use an async client or `to_thread`.,Blocking I/O releases the GIL and the loop continues other coroutines.,async def cannot call sync functions; it will not compile.,B
You need to ship type hints that a validator enforces at runtime. Why isn't `typing` enough?,"typing annotations are erased and not enforced; you need a runtime library (pydantic, typeguard) or explicit checks.",CPython validates all annotations on every call.,mypy injects runtime checks into bytecode.,`from __future__ import annotations` enables enforcement.,A
You pickle a cache blob from Redis and unpickle in the web process. What is the security issue?,Pickle is slow but cannot execute code.,Unpickling attacker-controlled bytes can execute arbitrary Python; don't unpickle untrusted data.,Redis refuses pickle protocol 5.,Pickle only serializes ints and strings.,B
`__slots__` on a hot class cut memory. Then you try to assign a new attribute in production. What happens?,The attribute is stored in `__dict__` as usual.,AttributeError: slots classes have no per-instance dict unless you add `'__dict__'` to slots.,Slots silently ignore unknown attributes.,Slots only affect classmethods.,B
asyncio task is cancelled while awaiting a non-cancellable third-party SDK. What goes wrong?,Cancellation always interrupts C code.,The task may not actually stop; resources leak and the event loop stays busy unless the SDK honors cancellation or you shield/timeout at a boundary you control.,asyncio converts cancellation into SystemExit.,Cancelled tasks retry automatically.,B
A Lua script in Redis is attractive for compare-and-set because:,Lua runs on all cluster nodes as a distributed transaction,"The script runs atomically on that instance's single thread, so no other command interleaves",Lua bypasses maxmemory,Lua is persisted as the source of truth,B
A Redis Cluster multi-key command (e.g. MGET) fails even though every key exists. What constraint did you hit?,Cluster forbids MGET entirely.,Multi-key ops must hash to the same slot (same hash tag); keys on different shards cannot be served as one command.,The keys are larger than 512 MB.,Cluster only supports string types.,B
A background RDB save (fork) on a huge dataset can stall latency because:,RDB uses cluster slots,Copy-on-write after fork can spike memory and pause the process under write load,RDB disables pipelining,RDB turns off eviction,B
A connection pool of 5000 clients against one instance can still collapse throughput because:,Redis only allows one TCP connection,The single thread plus huge output buffers and context switching become the limit; more conns are not more cores,Pools disable pipelining,Pools force RDB off,B
AOF fsync every second vs always: the product question is:,Which cluster slot to fsync,How much acknowledged write loss you accept on a crash versus how hard you hit the disk,Whether eviction is LRU,Whether replicas can read,B
Hash tags like {user:42}:profile and {user:42}:orders exist so that:,Eviction skips those keys,Both keys hash to the same cluster slot and can be used in one multi-key command,AOF groups them into one fsync,They become the database of record,B
Hot key on one cluster node shows 100% CPU while others are idle. Fix is not 'add replicas of other nodes' but:,More AOF fsync,"Split the key (sharding in the app), cache locally, or read-fanout carefully; the slot/node owning that key is the bottleneck",KEYS to relocate data,Switch eviction to noeviction,B
"If eviction is on, a successful SET is not a durability guarantee. Why?",SET never writes memory,"The key can still be dropped later under memory pressure, and a crash can lose recent writes depending on RDB/AOF settings",Cluster always replicates SET synchronously,TTL is ignored when eviction is on,B
MULTI/EXEC is not a distributed transaction. It:,Locks every cluster node,Queues commands and runs them sequentially on one instance; Cluster still will not span slots,Writes RDB first,Makes replicas strongly consistent,B
Pub/Sub is a poor audit log because:,Messages are larger than 400KB,It is fire-and-forget in-memory fanout; disconnected subscribers miss messages and nothing is the source of truth,It uses too many cluster slots,It always fsyncs AOF,B
SCAN is preferred over KEYS because:,SCAN is strongly consistent across the cluster,It incrementally iterates without holding the server in one giant blocking call,SCAN writes AOF,SCAN never misses keys even if they are mutated,B
Using Redis as a distributed lock without a well-tested algorithm is risky because:,Locks cannot have TTLs,"Expiry, pauses, and failover can leave two clients thinking they hold the lock; Redis is not a consensus database",Cluster slots cannot store lock keys,AOF forbids SET NX,B
You enable AOF always-fsync and also run heavy eviction on a memory-full instance. Why can latency still spike besides the fsync itself?,Eviction walks candidates on the main thread; combined with fsync you get multi-millisecond stalls.,"Eviction always happens on a replica, so the primary cannot spike.",AOF disables eviction.,"fsync is asynchronous in all AOF modes, so spikes must be network.",A
You treat Redis lists as a job queue and crash the worker after LPOP. What did you lose?,Nothing; AOF always replays the job to the worker,"The job, unless you used a reliable pattern (BRPOPLPUSH/streams + ack) and a real backing store for truth",Only the TTL,A cluster slot,B
"You use Redis as the only store for orders, with AOF every second. What durability story are you actually selling?",Same as PostgreSQL with fsync on commit.,"You can lose about a second of acknowledged writes on crash, and a bad Lua/script bug can wipe data with no undo.",AOF is a full MVCC history you can time-travel.,Replicas make the primary synchronous by default.,B
allkeys-lfu vs allkeys-lru: you pick LFU when:,You want AOF-like durability,Frequency beats recency: a key read often should survive even if it was not the most recently touched,Cluster slots should rebalance,You need strong consistency,B
@Async + @Transactional on the same method:,The transaction definitely runs on the caller and the work on the worker,Interceptor order matters; the transaction typically starts on the async thread after the hop — the caller's transaction does not cover the async body,They are illegal together,The caller always joins the async transaction,B
@Async method called from a loop of 10k items without batching:,Runs sequentially,"Enqueues 10k tasks; with a small pool this is a latency/queue-depth bomb, with an unbounded pool an OOM",Spring coalesces the calls,The loop becomes one task,B
@Async methods dump work on SimpleAsyncTaskExecutor (new thread per task) because no pool was configured. What fails under burst?,Nothing; unbounded threads are how Tomcat already works.,Thread/memory explosion with no backpressure; you wanted a bounded executor and a rejection policy.,@Async silently becomes synchronous.,Spring will switch to virtual threads automatically.,B
@Async on a self-called method in the same class:,Still hops threads,Is ignored like other Spring AOP: the method runs synchronously on the caller thread,Always uses the default executor,Throws unless the class is final,B
@Transactional on a non-Spring-managed object (new Service()) means:,Annotations are still discovered via the call stack,"No proxy exists, so the annotation never applies",Spring weaves all new calls,The transaction starts at the first JDBC call anyway,B
"@Value(""${foo}"") vs @ConfigurationProperties for a prefix:",They always see different sources,"Both read the same Environment, but @Value does not validate unknown keys and binds a single expression; @ConfigurationProperties binds a structured object with conversion and (with the processor) unknown-field policy",@Value ignores env vars,@ConfigurationProperties cannot use relaxed names,B
"A @Scope(""thread"") or custom thread scope without cleanup across thread-pool reuse causes:",No issue because threads are never reused,State leaking between unrelated tasks that share a pooled thread,The pool to create a new JVM,Scope to upgrade to request,B
A JSON serializer calling getOrders() on each Customer during a list endpoint is dangerous because:,getters cannot run SQL,Each getter is a lazy load after the service thought the unit of work was done; list size multiplies round trips,Jackson ignores getters,OSIV blocks getters,B
A `@Transactional` service calls a remote HTTP API inside the transaction. Why is this a reliability bug even if the SQL is correct?,HTTP cannot be called from a Spring bean.,"The DB lock/connection is held for the network RTT; timeouts, pool exhaustion, and distributed 'commit then HTTP failed' inconsistency.",Spring will automatically convert this to a saga.,"Transactions isolate HTTP as well, so retries are safe.",B
A command-line --spring.profiles.active=prod vs SPRING_PROFILES_ACTIVE=dev in the environment: what matters?,Profiles cannot be set twice,"Higher-precedence property source for spring.profiles.active wins; CLI typically beats env, which beats packaged files — know your runtime's actual Environment order",The first profile file on disk wins regardless,Both apply as a random shuffle,B
A custom ThreadPoolTaskExecutor for @Async should be exposed by:,Replacing TaskExecutor with an unbounded cached pool to be safe,"Implementing AsyncConfigurer / naming the executor in @Async(""name"") with bounded queue, size, and decorator",Using Executors.newFixedThreadPool without Spring lifecycle,Starting threads in @PostConstruct manually only,B
A leak of connections (checkout without close) happens when:,You always use try-with-resources / Spring-managed DataSourceUtils,"Manual getConnection without close, or a transaction that never completes (stuck thread, missing commit, swallowed rollback)",Hikari is enabled,You use @Transactional on every public method including health checks only,B
A property appears in both application.properties and application-prod.properties with prod profile active. Which is used?,application.properties always,The profile-specific document overrides the same key from the default document,They merge as a list,Spring fails startup on duplicate keys,B
A reliable fix for self-invocation when you must call another transactional method:,Add Thread.sleep so the proxy catches up,"Move the method to another bean and inject it, or self-inject the proxy, or use AopContext.currentProxy() with expose-proxy, or switch to AspectJ weaving",Mark the class final,Use @Transactional on the field,B
A service method without @Transactional calls this.save() which is @Transactional. The save runs:,In a transaction started by save's annotation,"With no transactional interceptor, so each repository call may auto-commit or join nothing as if save were a plain method",In a nested transaction always,Only if the class is final,B
A singleton bean with mutable instance fields used per request is dangerous because:,Spring clones it per thread automatically,Concurrent requests race on the same fields; you get cross-request data leaks and corruption,Singletons cannot be injected,The GC cannot collect them,B
A streaming query / open ResultSet inside a transaction:,Frees the connection immediately,Pins a connection for the entire stream consumption; slow consumers starve the pool,Moves the cursor off-heap without a connection,Is executed by the web client,B
Actuator `/env` and `/heapdump` are exposed on the public port. What did you actually ship?,Convenience health checks only; secrets are redacted always.,"A production data leak surface (config, secrets if mis-redacted, heap contents). Restrict and authenticate actuator.",Those endpoints are compile-time disabled in Boot 3.,heapdump requires a local JMX connection and cannot be fetched over HTTP.,B
An @Async method with an unbounded queue under a traffic spike:,Rejects immediately,Accepts work until heap/OOM while the caller thinks the job was safely offloaded,Runs inline on Tomcat threads automatically,Drops oldest tasks,B
Best default for a JSON API application:,Leave OSIV on so Jackson can lazy-load freely,"Disable OSIV, fetch or project in the service, return DTOs, fail on accidental lazy access",Use EAGER on every association,Open a new EntityManager per getter,B
Best structural fix for 'pool exhausted under load' when SQL is already fast:,"Set pool size to 10,000","Shorten hold time: no remote calls in tx, no OSIV lazy I/O, bound inbound concurrency to roughly pool size × (1/hold-time), fail fast on checkout",Disable timeouts,Switch every query to EAGER join fetch without measuring,B
CGLIB subclass proxies still fail self-invocation because:,CGLIB cannot subclass,"this inside the target is the target instance, not the subclass proxy wrapper sitting in the bean factory",CGLIB copies annotations onto this,JDK proxies would work for self-calls,B
Checked exceptions inside @Transactional by default:,Always roll back,Do not roll back unless rollbackFor includes them; RuntimeException and Error do,Commit twice,Disable the proxy,B
Config data imported from optional:file:./config/ vs classpath application.properties:,Classpath always beats files next to the process,External config locations are intended to override packaged defaults so the same artifact can run in every environment,Files are ignored unless named settings.ini,Import order is random per boot,B
Connection pool exhaustion looks like:,Instant OOM without waiting,"Threads blocked waiting for a connection until timeout, then errors; throughput collapses while CPU may look idle",The database rejecting authentication only,GC promotion storms only,B
"Core size 2, max 16, unbounded queue on the @Async executor. Observed threads stay at 2. Why?",Spring caps async at 2,ThreadPoolExecutor only starts extra threads when the queue is full; unbounded queue never fills,max pool is ignored for CPU reasons only,@Async uses core and max as aliases,B
Custom actuator endpoint that runs a heap query or SpEL from a request parameter:,Is fine if unnamed,Is a remote code/data exfil channel; treat custom endpoints with the same authz as admin RCE,Is automatically sanitized,Cannot be mapped under /actuator,B
"Default values in @Value(""${foo:bar}"") hide misconfiguration because:",Defaults are illegal,"If foo is missing from every source, you silently run with bar instead of failing startup",The default always overrides env vars,@Value cannot have defaults,B
Disabling OSIV without fixing fetch plans results in:,Faster pages always,LazyInitializationException during serialization — the failures OSIV was papering over,No SQL at all,Automatic DTO mapping,B
Duplicate keys in the same YAML file across maps vs a dotted key in properties:,YAML and properties never collide,"The higher-precedence PropertySource wins the flattened key; within one file, last/merge rules can surprise you — treat keys as a single namespace",Nested YAML cannot override dotted keys,Spring keeps both and randomly selects,B
Encrypted values / placeholders that resolve against a later PropertySource fail when:,Placeholders always resolve globally after all sources load in one pass with no order issues,"A source tries to resolve ${other} before 'other' is present in a higher-precedence source, or circular placeholders exist",Environment variables cannot contain placeholders,@Value does not resolve placeholders,B
Exceptions from @Async void methods:,Propagate to the HTTP client,"Go to the configured AsyncUncaughtExceptionHandler; if you did not set one, they can be swallowed after a log",Retry forever,Roll back the caller's transaction automatically always,B
Graceful shutdown of the @Async pool on SIGTERM:,Happens for SimpleAsyncTaskExecutor always,Requires a Spring-managed executor with waitForTasksToComplete / timeout; otherwise in-flight emails/jobs die mid-work on deploy,Is guaranteed by @Async itself,Is handled by the JVM finalizer,B
Holding a connection while calling a remote HTTP API inside @Transactional causes exhaustion because:,HTTP uses the same TCP port as JDBC,"The connection stays checked out for the whole transaction, including slow IO that does not need the database",Pools cannot coexist with HTTP,@Transactional closes the pool,B
"In a typical Spring Boot externalized config setup, which source wins over application.properties inside the jar?",The jar always wins,Command-line arguments and environment variables override packaged application.properties,Only @PropertySource wins,Random UUID properties,B
Injecting a prototype into a singleton does what by default?,A new prototype is created on every method call,The singleton receives one prototype instance at injection time and reuses it forever,Spring rejects the injection,The prototype becomes request-scoped,B
JMX exposure of the same actuator operations:,Is unrelated,Can bypass HTTP path lockdown if JMX is reachable; lock both HTTP and JMX,JMX cannot invoke shutdown,JMX is always local-only on every OS,B
Leaving /actuator/env and /actuator/configprops fully public is dangerous because:,They only show bean names,"They can reveal property values, including secrets that landed in the Environment, and which source they came from",They execute arbitrary SQL,They disable authentication globally,B
Lock wait in the database plus a small pool creates a deadlock of the application because:,Locks are held on checked-out connections; other requests need those connections to run the statements that would release the locks,The pool ignores the database,Spring upgrades isolation automatically,TCP keepalive drops locks,A
Logging the full /actuator/health body at INFO on every probe:,Is cheap and safe,"Can flood logs and record internal dependency errors (and with details on, internals) on a public interval",Is required for metrics,Disables scraping,B
Multiple DataSources each with a large pool on one JVM:,Is always correct,Can exhaust database max_connections across instances: pool size × processes × DataSources must stay under the DB cap,Spring shares one physical connection,Idle connections do not count against the database,B
OSIV holds a database connection (or at least a persistence context) across:,Only the @Transactional method,"Template rendering / JSON serialization, which may include remote calls if you are sloppy — stretching pool occupancy",Application startup only,Scheduled tasks only,B
OSIV plus a slow JSON serialization or template:,Releases the connection at service return always,Can keep the persistence context and connection occupied until the response is written,Never uses the pool,Uses a second unbounded pool,B
ObjectProvider<T> / Provider<T> for a prototype is used to:,Cache the first instance only,Ask the container for a new (or scoped) instance at the call site instead of capturing injection-time identity,Disable the bean,Make T a singleton,B
Open Session/EntityManager in View in Spring Boot means:,The persistence context is closed before the controller returns,The EntityManager/session stays open for the whole web request so the view can lazy-load,Only native SQL is allowed in templates,Transactions are disabled for GET,B
Pagination plus OSIV lazy collections in the page content leads to:,Constant query count,"Page size N extra queries (or worse with nested collections), destroying the point of pagination",Hibernate ignoring page size,OSIV closing per page row,B
"Pool size 10, Tomcat threads 200, each request needing a connection:",Spring will auto-expand the pool to 200,"190 threads can block on the pool; you must size pool, timeouts, and inbound concurrency together",Extra threads share connections safely,The database serializes them without wait,B
"REQUIRED on caller, REQUIRES_NEW on callee, called via this.callee():",The inner method still suspends and starts a new transaction,REQUIRES_NEW is skipped; there is no inner boundary at all,Both annotations merge into NESTED,The outer transaction commits twice,B
Refreshing a @RefreshScope bean vs singleton collaborators that captured it at startup:,All field-injected references see new values automatically if they stored the target,"Collaborators that injected the raw target keep the old instance; they need the refresh proxy, @ConfigurationProperties rebinding, or to read through the proxy each time",RefreshScope restarts the JVM,Singletons cannot inject RefreshScope beans,B
Sanitizing keys in env is insufficient alone because:,Sanitization is illegal,"Secrets still appear in heapdumps, logs, custom endpoints, and misspelled key names that skip the sanitizer patterns",Env never contained secrets if sanitized,Kubernetes secrets cannot enter the Environment,B
Self-injection of the same service works because:,Spring injects the raw target,"Spring injects the transactional proxy, so self.foo() is an advised call",It enables AspectJ compile-time weaving,It disables CGLIB,B
Show-details on health in production without auth:,Only adds a boolean,"Can leak dependency hostnames, versions, disk paths, and downstream failure details useful to attackers",Is required for Kubernetes probes,Disables the liveness probe,B
Spring's @Transactional on a public method is implemented by:,The compiler rewriting the method body,A proxy (JDK or CGLIB) that starts/commits/rolls back around calls that go through the proxy,The JVM verifying every bytecode invoke,AspectJ load-time weaving in every default Boot app,B
"Submitting @Async work before the caller transaction commits, and the async thread reading that row, causes:",A guaranteed read of committed data,"A race: the worker may not see uncommitted data (or may block on locks), so jobs flake",Repeatable read across threads by default,The async thread to join the same JDBC connection,B
The N+1 problem under OSIV typically appears as:,One join query and no extras,"One query for a collection of roots, then one query per root (or per association) while Jackson/Thymeleaf touches lazy fields",A single batch always,Only at startup,B
The correct place to fetch associations needed by a response is:,In the Jackson getter via lazy load,"In the repository/service query (join fetch, entity graph, or explicit query) inside the transactional boundary",In a @PreDestroy hook,In the OSIV filter after commit,B
The heapdump and threaddump endpoints are a problem when exposed because:,They are read-only and harmless,"Heap dumps contain secrets in memory; thread dumps reveal code paths, locks, and sometimes user data in stack frames",They only work locally,They restart the JVM always,B
The practical way to debug 'which value won?' is:,Guess from file timestamps,"Inspect the Environment / configprops (with security care): property origin, active profiles, and the bound @ConfigurationProperties object",Recompile until it matches,Print System.getProperties only,B
The production metric that catches OSIV N+1 is:,HTTP 200 rate only,"SQL count / time per request correlated with collection size, plus connection hold time",Heap usage only,Bean creation time,B
The safest team rule to prevent this outage class is:,Put @Transactional on every private helper,Transactional methods are entry points on a dedicated component; they are never called with this from the same class,Disable proxies and use ThreadLocal Connection only,Prefer checked exceptions for rollback,B
Thread pool unbounded queue + each task needs a DB connection:,The executor bounds the pool for you,"Accepted tasks wait on the executor, then wait on the connection pool — memory and thread/pool saturation stacked",Tasks skip the DB if the pool is busy,Hikari starts a thread per connection automatically matching the executor,B
TransactionSynchronization afterCommit registered in a self-called method with ignored @Transactional will:,Always run after the repository commit you expected,"Bind to whatever transaction is actually active (maybe none), so it may run immediately, never, or on the wrong unit of work",Create a new transaction to hang the sync on,Throw if no proxy,B
"Transactional service ends, OSIV still open: writes in the view layer can:",Never happen because the context is read-only,"Dirty-flush unexpectedly if something mutates a managed entity during rendering (rare but nasty), or at least keep connections busy",Always roll back,Open a second OSIV,B
Two jars on the classpath both contain application.properties:,Spring merges with a documented deterministic library order you should not rely on for overrides; do not ship conflicting keys in libraries,The JVM picks at random each request,Both are illegal and fail startup always,"Only the Boot jar's file is read, libraries are ignored always",A
Using the common ForkJoinPool for @Async blocking JDBC:,Is ideal because FJP is infinite,Starves parallel streams and other FJP users; blocking work needs a dedicated bounded pool,Automatically upgrades to platform threads with no limit,Shares Tomcat's pool,B
"When adding Spring Security, a common misconfig is:",Securing /actuator/** and leaving the management port open without security because 'it is private',"Forgetting that permitAll() on /actuator/health also opened sibling endpoints, or that the management port has a separate security filter chain",Actuator ignoring Spring Security always,Health cannot be permitAll even on purpose,B
Which is the right scope for a JPA EntityManager injected into a singleton service?,A shared singleton EntityManager field used by all threads,"A thread-bound persistence context via @PersistenceContext (proxy), not a singleton EM you created once",prototype EntityManager stored on the service,application scope EM,B
Which state belongs on a singleton bean?,The current user's id,"Thread-safe collaborators (clients, repos) and immutable config; no per-request mutable fields",The ServletRequest stored in a field,A non-thread-safe ArrayList of 'current items',B
Which visibility is ignored by the default proxy-based @Transactional?,public methods called through the proxy,"private/package/protected methods: the annotation is typically not applied (CGLIB may subclass, but Spring's tx advisor does not advise non-public by default)",only static methods,only constructors,B
Why DTO/projection queries defeat OSIV N+1 more cleanly than initializing proxies:,DTOs cannot be serialized,There is no lazy graph to walk; the query selected exactly the response fields,Projections keep the session open longer,Entities cannot be mapped to JSON,B
Why OSIV hides LazyInitializationException and makes N+1 worse in production:,It closes the session earlier,Serialization succeeds slowly with hidden per-entity SQL instead of failing fast in the service layer,It batches all lazy loads by default,It disables Hibernate statistics,B
Why a separate management port helps:,It makes actuator faster,You can bind it to localhost or a private interface and never publish it on the load balancer that serves the API,It disables all security,It shares the servlet thread pool only,B
Why are Spring MVC controllers singletons by default?,They cannot be request-scoped,Stateless handlers scale; making controllers prototype/request-scoped is usually hiding mutable fields that should not exist,The dispatcher cannot find prototypes,HTTP requires one controller per connection,B
Why connectionTimeout (checkout wait) must be finite and smaller than the HTTP timeout:,So the load balancer / caller fails fast instead of tying up all servlet threads behind an infinite pool wait,The database requires it for correctness of SQL,Infinite wait uses less memory,Hikari forbids finite timeouts,A
Why does an env var SPRING_DATASOURCE_URL override spring.datasource.url?,It does not; names must match exactly including dots,Relaxed binding maps environment variables (and some case/separator variants) onto the dotted property,Only underscores in application.properties work,The DataSource ignores properties,B
"Why request-thread ThreadLocals (security context, MDC, tenant) vanish in @Async:",ThreadLocals are copied by the JVM automatically,A new worker thread does not inherit them unless a TaskDecorator/propagating executor copies them,@Async is not allowed to log,SecurityContext is a singleton,B
"Why tests that call the method via the injected bean pass, but a production path that goes through this.method fails?",Tests disable AOP,The test invokes the proxy; the production code path is an internal call that skips interceptors,H2 does not support transactions,@Transactional is test-only,B
"Without a custom Executor bean, @Async often runs on:",The request thread (so it is not async),A SimpleAsyncTaskExecutor that creates a new thread per task and does not reuse a bounded pool,The fork-join common pool only,"The Tomcat worker that called it, always",B
You change application.yml but Kubernetes still runs old URLs. Most likely:,YAML is ignored in containers,A ConfigMap/env/command-line source of higher precedence still has the old key,Relaxed binding is disabled in prod,The bean is prototype so it never rebinds,B
You set a value in @TestPropertySource and also in application-test.yml. Typical test precedence is:,YAML always wins over TestPropertySource,@TestPropertySource / @DynamicPropertySource / @SpringBootTest properties generally override application-test.yml so tests can pin values,The jar's application.properties wins in tests,Profiles are ignored in tests,B
batch fetching (default_batch_fetch_size) vs eliminating N+1:,Batching removes the extra queries entirely,"It groups lazy loads into IN-queries (N/batch + 1), a mitigation, not a substitute for fetching what you need up front",It only works with OSIV off,It disables lazy loading,B
gateway / proxy that strips /actuator from public routes but forwards /*:,Is enough if the string 'actuator' is banned in docs,"Can still expose actuators via alternate context paths, management base-path changes, or port mix-ups — verify the actual listener",Makes include=* safe,Disables JMX too,B
join fetch in a Collection-valued association without care can:,Never affect row counts,"Multiply root rows (cartesian product), so you need distinct or a two-query pattern",Disable OSIV,Automatically paginate,B
prototype-scoped @Transactional bean obtained once and reused:,Gets a new transaction interceptor each call from the factory,"Is one object; reuse is your problem, and it is a poor way to get transactions",Cannot have @Transactional,Automatically request-scopes the tx,B
read-only health checks sharing the primary pool can exhaust it during an incident because:,Health checks do not use SQL,"Probes compete with business traffic for the last connections, causing a death spiral of failed checks and restarts",Kubernetes ignores JDBC,read-only queries skip the pool,B
"readOnly=true on a class-level @Transactional, then a self-called inner write method with readOnly=false:","The write method still participates in the outer read-only transaction if called via this, and the write may fail or silently do nothing useful",readOnly is ignored always,Spring starts a write tx automatically on flush,The inner annotation wins without a proxy,A
request scope in a singleton without a proxy fails because:,Request scope does not exist,"The singleton is created at startup, outside a request; there is no request instance to inject unless a scoped proxy defers access",HTTP is not thread-safe,Controllers cannot be singletons,B
self-invocation skipped @Transactional that leaves autocommit queries vs a long outer transaction: exhaustion angle is:,No difference,"An unexpectedly long outer transaction (or, conversely, extra checkouts from unbatched autocommit) both increase occupancy; know which connection you hold",Autocommit never uses the pool,Transactions do not check out connections,B
session-scoped beans in a REST API cluster are a hazard because:,They are always faster,"HTTP session state is per node (unless replicated/sticky), so users bounce and lose or split state; it also pins memory",Session scope cannot store objects,Spring forbids session scope,B
spring.application.json / SPRING_APPLICATION_JSON is dangerous in ops because:,It cannot set properties,It injects a high-precedence JSON blob of properties that is easy to forget when debugging files and env vars,It only works for logging,It disables relaxed binding,B
this.otherTransactionalMethod() inside the same class typically:,Still starts a new transaction as annotated,"Bypasses the proxy, so @Transactional on the callee is ignored",Always throws IllegalTransactionStateException,Forces a suspend of the outer transaction,B
